emp_no,title,dept_no,first_name,last_name,birth_date,from_date,to_date
10095,Staff,d007,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01
10122,Technique Leader,d005,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01
10291,Staff,d007,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01
10410,Staff,d007,Takahito,Gecsei,1965-01-19,1993-10-16,1996-07-21
10476,Staff,d008,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01
10480,Staff,d002,Make,Baba,1965-01-25,1988-05-18,1989-06-03
10663,Technique Leader,d004,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01
10762,Staff,d008,Lech,Himler,1965-01-19,1992-01-21,9999-01-01
10933,Senior Engineer,d004,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01
11015,Senior Staff,d007,Jeanna,Riesenhuber,1965-01-24,1998-03-14,2000-02-22
11126,Senior Staff,d008,Hideo,Daescu,1965-01-08,1992-02-25,2002-04-04
11157,Engineer,d005,Mario,Cochrane,1965-02-01,1985-03-30,1991-02-06
11432,Engineer,d004,Yongmao,Zwicker,1965-01-15,1987-10-19,1997-09-13
12155,Engineer,d004,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01
12408,Senior Engineer,d005,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01
12643,Staff,d002,Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01
13499,Technique Leader,d004,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01
13957,Senior Engineer,d006,Angus,Chelton,1965-01-10,1986-04-18,1987-02-02
14075,Engineer,d005,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01
14104,Staff,d003,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01
14127,Senior Engineer,d004,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01
14158,Senior Staff,d007,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01
14476,Engineer,d004,Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01
14551,Senior Staff,d007,Richard,Sinitsyn,1965-01-18,1993-06-27,1993-09-16
14907,Senior Staff,d007,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01
15050,Engineer,d004,Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01
15058,Staff,d002,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01
15376,Staff,d008,Geoff,Soicher,1965-01-10,1988-08-14,2001-03-01
15413,Senior Engineer,d005,Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01
16461,Staff,d007,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01
16528,Engineer,d004,Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01
17013,Staff,d002,Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01
17206,Senior Engineer,d004,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01
17369,Senior Engineer,d004,Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01
17447,Staff,d007,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01
17618,Staff,d008,Teiji,Picco,1965-01-12,1992-09-17,1999-11-08
17731,Engineer,d005,Gennady,Roison,1965-01-16,1989-12-06,9999-01-01
17799,Engineer,d005,Gro,Gini,1965-01-28,1997-09-28,2001-07-11
17970,Technique Leader,d004,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01
17988,Engineer,d004,Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01
18021,Engineer,d005,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01
18187,Staff,d008,Denis,Falster,1965-01-08,1998-12-21,1999-06-03
18424,Engineer,d005,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01
18583,Staff,d009,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01
18617,Staff,d003,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01
18810,Senior Engineer,d005,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01
19236,Engineer,d004,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01
19350,Staff,d009,Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01
19803,Senior Engineer,d005,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01
20100,Senior Staff,d001,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01
20128,Senior Staff,d009,Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01
20129,Senior Engineer,d004,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01
20248,Staff,d009,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01
20313,Engineer,d004,Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01
20500,Staff,d009,Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01
20712,Engineer,d004,Valeri,Escriba,1965-01-26,1994-04-09,1998-05-02
20720,Senior Staff,d003,Heejo,Brodie,1965-01-17,1996-12-27,1997-05-17
20885,Senior Engineer,d004,Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01
21181,Assistant Engineer,d004,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01
21188,Engineer,d005,Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01
21534,Staff,d002,Alagu,Luders,1965-01-12,1996-04-03,1997-12-14
21546,Senior Staff,d001,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01
21843,Senior Engineer,d005,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01
21909,Staff,d007,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01
22027,Staff,d002,Sangeeta,Georg,1965-01-27,1992-07-31,1998-03-14
22185,Assistant Engineer,d005,Huai,Birch,1965-01-29,1996-03-26,2002-06-12
22415,Senior Staff,d007,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01
22451,Staff,d005,Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01
22455,Staff,d001,Barry,Unno,1965-01-06,1990-11-16,9999-01-01
22502,Senior Engineer,d004,Rutger,Binkley,1965-01-29,1989-10-16,2001-11-02
